Robert Tarjan	[1: ¬(occupation; engineer)=0.45 2: ¬(award; Computer History Museum fellow)=0.38 3: ¬(award; IEEE John von Neumann Medal)=0.25]
Raj Reddy	[1: ¬(award; ACM Fellow)=0.62 2: ¬(member of; Association for Computing Machinery)=0.58 3: ¬(member of; National Academy of Sciences)=0.51]
Yoshua Bengio	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(citizenship; United States of America)=0.72 3: ¬(occupation; university teacher)=0.67]
Herbert Alexander Simon	[1: ¬(member of; National Academy of Engineering)=0.52 2: ¬(occupation; mathematician)=0.46 3: ¬(occupation; engineer)=0.45]
Edward Feigenbaum	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.46 3: ¬(occupation; engineer)=0.45]
Vint Cerf	[1: ¬(occupation; mathematician)=0.46 2: ¬(award; Computer History Museum fellow)=0.38 3: ¬(award; IEEE John von Neumann Medal)=0.25]
Martin Edward Hellman	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(occupation; university teacher)=0.67 3: ¬(award; ACM Fellow)=0.62]
Shafrira Goldwasser	[1: ¬(gender; male)=0.96 2: ¬(member of; Association for Computing Machinery)=0.58 3: ¬(award; Computer History Museum fellow)=0.38]
Stephen Cook	[1: ¬(member of; National Academy of Engineering)=0.52 2: ¬(occupation; engineer)=0.45 3: ¬(award; Computer History Museum fellow)=0.38]
Amir Pnueli	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(citizenship; United States of America)=0.72 3: ¬(member of; National Academy of Sciences)=0.51]
Leslie Lamport	[1: ¬(occupation; university teacher)=0.67 2: ¬(member of; Association for Computing Machinery)=0.58 3: ¬(member of; National Academy of Engineering)=0.52]
William Kahan	[1: ¬(citizenship; United States of America)=0.72 2: ¬(member of; National Academy of Engineering)=0.52 3: ¬(member of; National Academy of Sciences)=0.51]
Donald Knuth	[1: ¬(award; Computer Pioneer Award)=0.25 2: ¬(award; Harold Pender Award)=0.14 3: ¬(award; National Medal of Technology and Innovation)=0.13]
John L. Hennessy	[1: ¬(occupation; mathematician)=0.46 2: ¬(award; Computer Pioneer Award)=0.25 3: ¬(member of; Royal Society)=0.22]
Pat Hanrahan	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.46 3: ¬(award; Computer History Museum fellow)=0.38]
John Backus	[1: ¬(occupation; university teacher)=0.67 2: ¬(award; ACM Fellow)=0.62 3: ¬(member of; Association for Computing Machinery)=0.58]
Leslie Valiant	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(member of; Association for Computing Machinery)=0.58 3: ¬(member of; National Academy of Engineering)=0.52]
Michael Stonebraker	[1: ¬(occupation; university teacher)=0.67 2: ¬(member of; National Academy of Engineering)=0.52 3: ¬(member of; National Academy of Sciences)=0.51]
Leonard Adleman	[1: ¬(occupation; university teacher)=0.67 2: ¬(award; ACM Fellow)=0.62 3: ¬(member of; Association for Computing Machinery)=0.58]
Juris Hartmanis	[1: ¬(occupation; engineer)=0.45 2: ¬(award; Computer History Museum fellow)=0.38 3: ¬(award; IEEE John von Neumann Medal)=0.25]
Jim Gray	[1: ¬(occupation; university teacher)=0.67 2: ¬(occupation; mathematician)=0.46 3: ¬(occupation; engineer)=0.45]
Edgar F. Codd	[1: ¬(member of; National Academy of Engineering)=0.52 2: ¬(member of; National Academy of Sciences)=0.51 3: ¬(occupation; engineer)=0.45]
Maurice Wilkes	[1: ¬(citizenship; United States of America)=0.72 2: ¬(member of; National Academy of Engineering)=0.52 3: ¬(award; Computer Pioneer Award)=0.25]
Kristen Nygaard	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(citizenship; United States of America)=0.72 3: ¬(award; ACM Fellow)=0.62]
Niklaus Wirth	[1: ¬(citizenship; United States of America)=0.72 2: ¬(member of; National Academy of Engineering)=0.52 3: ¬(member of; National Academy of Sciences)=0.51]
Peter Naur	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(citizenship; United States of America)=0.72 3: ¬(award; ACM Fellow)=0.62]
Geoffrey Hinton	[1: ¬(citizenship; United States of America)=0.72 2: ¬(occupation; university teacher)=0.67 3: ¬(award; ACM Fellow)=0.62]
Butler Lampson	[1: ¬(occupation; mathematician)=0.46 2: ¬(academic degree; Doctor of Philosophy)=0.16 3: ¬(occupation; programmer)=0.14]
Bob Kahn	[1: ¬(occupation; university teacher)=0.67 2: ¬(occupation; mathematician)=0.46 3: ¬(award; IEEE John von Neumann Medal)=0.25]
Adi Shamir	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(citizenship; United States of America)=0.72 3: ¬(occupation; university teacher)=0.67]
Michael O. Rabin	[1: ¬(citizenship; United States of America)=0.72 2: ¬(award; ACM Fellow)=0.62 3: ¬(member of; Association for Computing Machinery)=0.58]
Alan Kay	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.46 3: ¬(occupation; engineer)=0.45]
Barbara Liskov	[1: ¬(gender; male)=0.96 2: ¬(occupation; mathematician)=0.46 3: ¬(award; Computer History Museum fellow)=0.38]
Fernando J. Corbató	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.46 3: ¬(occupation; engineer)=0.45]
Alan Perlis	[1: ¬(award; ACM Fellow)=0.62 2: ¬(member of; Association for Computing Machinery)=0.58 3: ¬(member of; National Academy of Sciences)=0.51]
Dennis M. Ritchie	[1: ¬(member of; American Academy of Arts and Sciences)=0.72 2: ¬(occupation; university teacher)=0.67 3: ¬(award; ACM Fellow)=0.62]
