Robert Tarjan	[1: ¬(field; computer science)=0.54 2: ¬(occupation; engineer)=0.44 3: ¬(member of; Royal Society)=0.22 4: ¬(academic degree; Doctor of Philosophy)=0.16 5: ¬(occupation; programmer)=0.15]
Raj Reddy	[1: ¬(member of; Association for Computing Machinery)=0.57 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51 4: ¬(occupation; mathematician)=0.47 5: ¬(occupation; engineer)=0.44]
Yoshua Bengio	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(occupation; university teacher)=0.68 4: ¬(member of; Association for Computing Machinery)=0.57 5: ¬(field; computer science)=0.54]
Herbert Alexander Simon	[1: ¬(field; computer science)=0.54 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(occupation; mathematician)=0.47 4: ¬(occupation; engineer)=0.44 5: ¬(employer; Massachusetts Institute of Technology)=0.25]
Edward Feigenbaum	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.47 3: ¬(occupation; engineer)=0.44 4: ¬(employer; Massachusetts Institute of Technology)=0.25 5: ¬(member of; Royal Society)=0.22]
Vint Cerf	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.25 3: ¬(field; informatics)=0.18 4: ¬(academic degree; Doctor of Philosophy)=0.16 5: ¬(employer; University of California  Berkeley)=0.16]
Martin Edward Hellman	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.68 3: ¬(member of; Association for Computing Machinery)=0.57 4: ¬(field; computer science)=0.54 5: ¬(member of; National Academy of Sciences)=0.51]
Shafrira Goldwasser	[1: ¬(member of; Association for Computing Machinery)=0.67 2: ¬(employer; IBM)=0.33 3: ¬(employer; University of California  Berkeley)=0.33 4: ¬(employer; New York University)=0.33 5: ¬(member of; Institute of Electrical and Electronics Engineers)=0.33]
Stephen Cook	[1: ¬(member of; National Academy of Engineering)=0.51 2: ¬(occupation; engineer)=0.44 3: ¬(employer; Massachusetts Institute of Technology)=0.25 4: ¬(employer; Stanford University)=0.19 5: ¬(field; informatics)=0.18]
Amir Pnueli	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; National Academy of Sciences)=0.51 4: ¬(employer; Massachusetts Institute of Technology)=0.25 5: ¬(member of; Royal Society)=0.22]
Leslie Lamport	[1: ¬(occupation; university teacher)=0.68 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(member of; National Academy of Engineering)=0.51 4: ¬(employer; Massachusetts Institute of Technology)=0.25 5: ¬(member of; Royal Society)=0.22]
William Kahan	[1: ¬(citizen; United States of America)=0.72 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51 4: ¬(member of; National Academy of Engineering)=0.51 5: ¬(occupation; engineer)=0.44]
Donald Knuth	[1: ¬(employer; Massachusetts Institute of Technology)=0.25 2: ¬(field; informatics)=0.18 3: ¬(employer; University of California  Berkeley)=0.16 4: ¬(employer; Carnegie Mellon University)=0.15 5: ¬(education; University of California  Berkeley)=0.15]
